subject_race,arrest_made,search_conducted
white,False,False
black,False,False
hispanic,False,False
hispanic,False,False
hispanic,False,False
hispanic,False,False
asian/pacific islander,False,False
black,False,False
black,False,False
other,False,False
hispanic,False,False
asian/pacific islander,False,False
other,True,True
hispanic,False,True
hispanic,False,False
white,False,False
hispanic,False,False
hispanic,False,True
hispanic,False,False
hispanic,False,True
hispanic,True,True
hispanic,False,True
asian/pacific islander,False,False
other,False,False
white,False,False
hispanic,False,True
asian/pacific islander,False,False
other,False,True
hispanic,False,False
other,False,False
hispanic,False,False
black,False,False
other,False,True
hispanic,True,True
other,True,True
hispanic,True,True
hispanic,False,False
hispanic,False,True
hispanic,False,True
hispanic,True,True
hispanic,False,False
other,False,True
hispanic,False,True
black,False,False
other,False,False
white,False,True
black,True,True
asian/pacific islander,False,False
black,True,True
white,False,False
white,False,False
hispanic,False,True
hispanic,False,True
black,False,True
hispanic,False,False
hispanic,False,False
hispanic,False,False
hispanic,False,False
hispanic,True,True
hispanic,False,False
other,False,False
hispanic,False,True
black,False,False
hispanic,False,True
other,False,False
black,False,True
other,False,True
hispanic,False,True
other,False,True
white,False,False
white,False,False
black,True,True
white,True,True
asian/pacific islander,False,False
white,False,True
hispanic,False,False
white,False,True
hispanic,False,False
white,True,True
black,False,True
hispanic,False,False
asian/pacific islander,True,True
other,True,True
other,False,False
white,False,False
hispanic,False,False
hispanic,False,False
white,False,False
hispanic,False,False
white,False,False
asian/pacific islander,False,False
hispanic,False,False
white,False,False
asian/pacific islander,False,False
hispanic,False,False
white,False,False
hispanic,False,True
hispanic,False,False
hispanic,False,False
asian/pacific islander,False,False
other,False,True
other,False,True
other,False,True
other,False,False
other,False,True
other,False,True
asian/pacific islander,False,False
black,False,True
hispanic,False,True
white,False,False
asian/pacific islander,False,False
black,False,False
hispanic,False,False
white,False,False
hispanic,False,False
white,False,False
asian/pacific islander,False,False
hispanic,False,False
other,False,True
white,False,False
asian/pacific islander,False,False
other,False,True
white,False,False
hispanic,False,True
asian/pacific islander,False,False
hispanic,False,False
white,False,False
white,True,False
other,False,True
other,False,True
other,False,True
asian/pacific islander,False,False
black,False,False
other,False,True
white,False,False
hispanic,False,True
hispanic,True,True
